playerFirstName,playerLastName,playerId,age,seasonId,shoots,playerPositionCode,playerTeamsPlayedFor,gamesPlayed,goals,assists,shots,plusMinus,penaltyMinutes,timeOnIcePerGame,shiftsPerGame,
Radko,Gudas,8475462,25.901369863,20152016,R,D,PHI,76,5,9,150,-3,116,1190.6184,25.5263,
Stephen,Johns,8475730,24.0301369863,20152016,R,D,DAL,14,1,2,13,-6,6,1069.7857,23.3571,
Shea,Weber,8470642,30.7123287671,20152016,R,D,NSH,78,20,31,189,-7,27,1522.6153,29.923,
Benoit,Pouliot,8471678,29.5863013699,20152016,L,L,EDM,55,14,22,109,-6,30,962.9636,22.7454,
Mike,Santorelli,8471390,30.3780821918,20152016,R,C,ANA,70,9,9,81,-4,8,605.5571,14.1857,
Matt,Irwin,8475625,28.4191780822,20152016,L,D,BOS,2,0,0,3,-5,0,896.0,21.5,
Nazem,Kadri,8475172,25.5643835616,20152016,L,C,TOR,76,17,28,260,-15,73,1096.4078,25.0263,
Kyle,Rau,8476415,23.5123287671,20152016,L,C,FLA,9,0,0,15,-1,2,755.4444,17.5555,
TJ,Brennan,8474113,27.0739726027,20152016,L,D,TOR,7,1,0,11,-6,6,905.8571,22.7142,
Blake,Comeau,8471260,30.197260274,20152016,R,L,COL,81,12,24,142,-9,58,1057.6296,22.7901,
Victor,Hedman,8475167,25.3643835616,20152016,L,D,TBL,78,10,37,180,21,46,1383.9743,26.2435,
Matt,Beleskey,8473492,27.895890411,20152016,L,L,BOS,80,15,22,168,6,65,951.4125,20.7875,
Klas,Dahlbeck,8476403,24.8164383562,20152016,L,D,ARI,71,2,6,64,-5,28,943.9718,23.2535,
Patrick,Sharp,8469544,34.3452054795,20152016,R,L,DAL,76,20,35,226,-3,27,1057.0657,22.9473,
Hunter,Shinkaruk,8477445,21.5424657534,20152016,L,C,VAN|CGY,8,2,1,12,-4,2,897.875,19.5,
Magnus,Paajarvi,8475175,25.0493150685,20152016,L,L,STL,48,3,6,88,-9,8,771.0,19.5,
Mikkel,Boedker,8474571,26.3698630137,20152016,L,L,ARI|COL,80,17,34,166,-33,12,1111.7625,22.35,
Seth,Jones,8477495,21.5698630137,20152016,R,D,NSH|CBJ,81,3,28,157,-14,22,1324.5925,26.0123,
Tyler,Seguin,8475794,24.2438356164,20152016,R,C,DAL,72,33,40,278,2,16,1166.5416,24.2222,
Nicklas,Backstrom,8473563,28.4356164384,20152016,L,C,WSH,75,20,50,129,17,36,1150.9066,23.24,
Erik,Condra,8473588,29.7342465753,20152016,R,R,TBL,54,6,5,58,-4,34,642.4074,14.8518,
Patrick,Kane,8474141,27.4438356164,20152016,L,R,CHI,82,46,60,287,17,30,1224.6219,23.9878,
Johnny,Gaudreau,8476346,22.7095890411,20152016,L,L,CGY,79,30,48,217,4,20,1195.8354,24.9367,
Joseph,Blandisi,8477010,21.7808219178,20152016,L,L,NJD,41,5,12,43,-14,34,936.1463,19.2682,
Ian,Cole,8474013,27.1863013699,20152016,L,D,PIT,70,0,12,72,-3,59,1034.3428,23.4142,
Joel,Armia,8476469,22.9123287671,20152016,R,R,WPG,43,4,6,52,2,12,729.6744,16.8837,
Luke,Glendening,8476822,27.0054794521,20152016,R,C,DET,81,8,13,88,4,46,874.6666,21.7777,
Nikita,Zadorov,8477507,21.0356164384,20152016,L,D,COL,22,0,2,18,-5,12,1015.9545,21.3181,
Bobby,Farnham,8476769,27.2712328767,20152016,L,L,PIT|NJD,53,8,2,50,-2,97,558.7924,13.283,
Cody,Goloubef,8474597,26.4136986301,20152016,R,D,CBJ,43,1,7,40,-3,20,907.6046,20.0,
Alex,Biega,8473415,28.0712328767,20152016,R,D,VAN,51,0,7,61,-11,22,1005.8039,24.1568,
Michael,Keranen,8477923,26.3178082192,20152016,L,L,MIN,1,0,0,0,-1,0,369.0,8.0,
Viktor,Tikhonov,8474588,27.9671232877,20152016,R,R,CHI|ARI,50,3,3,41,-10,20,686.06,15.9,
Mark,Letestu,8473914,31.2356164384,20152016,R,C,EDM,82,10,15,107,-21,10,946.939,22.7317,
Connor,Brown,8477015,22.2876712329,20152016,R,R,TOR,7,1,5,11,-2,0,898.2857,20.1428,
Mark,Barberio,8474717,26.104109589,20152016,L,D,MTL,30,2,8,32,0,6,899.8666,19.3333,
Mattias,Ekholm,8475218,25.9342465753,20152016,L,D,NSH,82,8,27,114,14,44,1214.5,25.878,
Antoine,Vermette,8468535,33.7835616438,20152016,L,C,ARI,76,17,21,123,-14,93,998.4605,22.7763,
Gregory,Campbell,8470169,32.3726027397,20152016,L,C,CBJ,82,3,8,58,-6,78,633.9756,15.317,
Chris,Kelly,8467967,35.4712328767,20152016,L,C,BOS,11,2,0,8,3,0,785.1818,19.1818,
Sven,Baertschi,8476466,23.5643835616,20152016,L,L,VAN,69,15,13,108,-14,14,807.4927,18.3043,
Dalton,Prout,8474774,26.1315068493,20152016,R,D,CBJ,64,3,6,69,-6,102,970.3593,21.7187,
Nikita,Kucherov,8476453,22.8657534247,20152016,L,R,TBL,77,30,36,209,9,30,1092.7402,20.8701,
Marcus,Johansson,8475149,25.5643835616,20152016,L,L,WSH,74,17,29,132,12,16,998.3783,19.7297,
Yanni,Gourde,8476826,24.3726027397,20152016,L,C,TBL,2,0,1,0,1,2,439.0,10.5,
Michael,Paliotta,8476394,23.0630136986,20152016,R,D,CBJ,1,0,0,2,0,4,452.0,12.0,
John,McCarthy,8473562,29.7260273973,20152016,L,C,SJS,1,0,0,0,0,0,425.0,12.0,
Nicolas,Deslauriers,8475235,25.1835616438,20152016,L,L,BUF,70,6,6,72,-14,59,619.7,14.3142,
Ales,Hemsky,8469466,32.7178082192,20152016,R,R,DAL,75,13,26,155,3,20,786.2533,19.5733,
Curtis,Lazar,8477508,21.2356164384,20152016,R,R,OTT,76,6,14,78,-1,18,831.5263,19.4605,
Victor,Rask,8476437,23.1616438356,20152016,L,C,CAR,80,21,27,160,-6,24,1018.9875,22.4625,
Zach,Sill,8475119,27.9342465753,20152016,L,C,WSH,10,1,0,13,0,2,596.0,14.0,
Shayne,Gostisbehere,8476906,23.0246575342,20152016,L,D,PHI,64,17,29,152,8,24,1205.4218,24.4375,
Michal,Rozsival,8465058,37.6630136986,20152016,R,D,CHI,51,1,12,41,3,33,969.6274,21.4901,
Mikael,Granlund,8475798,24.1726027397,20152016,L,C,MIN,82,13,31,160,-12,20,1087.1707,22.6219,
Jacob,Josefson,8475185,25.1616438356,20152016,L,C,NJD,58,4,10,86,-21,20,931.3275,22.3793,
